"source";"target";"year_of_publication";"Erscheinungsort"
"02-0647";"02-0414";1557;"Augsburg"
"02-0782";"02-0698";1555;"Augsburg"
"02-0662";"02-0716";1558;"Augsburg"
"02-0647";"02-0716";1558;"Augsburg"
"02-0302";"02-0716";1556;"Augsburg"
"02-0838";"02-0716";1556;"Augsburg"
"02-0838";"02-0716";1554;"Augsburg"
"02-0838";"02-0716";1554;"Augsburg"
"02-0647";"02-0721";1558;"Augsburg"
"02-0647";"02-0782";1558;"Augsburg"
"02-0838";"02-0782";1556;"Augsburg"
"02-0838";"02-0791";1556;"Augsburg"
"02-0782";"02-1004";1555;"Augsburg"
"02-0716";"02-0556";1567;"Basel"
"02-0061";"02-0741";1561;"Basel"
"02-0766";"02-0876";1556;"Basel"
"02-0766";"02-0876";1556;"Basel"
"02-0766";"02-0876";1560;"Basel"
"02-0716";"02-0654";1562;"Bautzen"
"02-0279";"02-0654";1562;"Bautzen"
"02-0791";"02-0838";1556;"Breslau"
"02-0660";"02-0647";1549;"Coburg"
"02-0848";"02-0655";1559;"Dillingen"
"02-0848";"02-0681";1558;"Dillingen"
"02-0848";"02-0716";1558;"Dillingen"
"02-0848";"02-0716";1559;"Dillingen"
"02-0848";"02-0782";1558;"Dillingen"
"02-0848";"02-0782";1559;"Dillingen"
"02-0848";"02-0793";1559;"Dillingen"
"02-0848";"02-0838";1559;"Dillingen"
"02-0848";"02-1029";1558;"Dillingen"
"02-0800";"02-0529";1580;"Dresden"
"02-0596";"02-0070";1566;"Eisleben"
"02-0845";"02-0493";1572;"Eisleben"
"02-0657";"02-0609";1565;"Eisleben"
"02-0845";"02-0649";1577;"Eisleben"
"02-0845";"02-0655";1578;"Eisleben"
"02-0785";"02-0716";1575;"Eisleben"
"02-0748";"02-0716";1573;"Eisleben"
"02-0789";"02-0733";1561;"Eisleben"
"02-0685";"02-0733";1561;"Eisleben"
"02-0685";"02-0733";1561;"Eisleben"
"02-0716";"02-0741";1572;"Eisleben"
"02-0845";"02-0741";1572;"Eisleben"
"02-0785";"02-0749";1574;"Eisleben"
"02-0789";"02-0775";1562;"Eisleben"
"02-0873";"02-0775";1564;"Eisleben"
"02-0785";"02-0785";1575;"Eisleben"
"02-0845";"02-0785";1575;"Eisleben"
"02-0845";"02-0785";1577;"Eisleben"
"02-0716";"02-0791";1572;"Eisleben"
"02-0714";"02-0802";1574;"Eisleben"
"02-0714";"02-0802";1574;"Eisleben"
"02-0714";"02-0802";1570;"Eisleben"
"02-0845";"02-0811";1562;"Eisleben"
"02-0845";"02-0820";1572;"Eisleben"
"02-0845";"02-0820";1573;"Eisleben"
"02-0785";"02-0832";1574;"Eisleben"
"02-0845";"02-0838";1559;"Eisleben"
"02-0785";"02-0845";1575;"Eisleben"
"02-0658";"02-0845";1580;"Eisleben"
"02-1002";"02-0845";1580;"Eisleben"
"02-0712";"02-0845";1574;"Eisleben"
"02-0785";"02-0845";1574;"Eisleben"
"02-0820";"02-0845";1573;"Eisleben"
"02-0785";"02-0845";1573;"Eisleben"
"02-0785";"02-0845";1573;"Eisleben"
"02-0785";"02-0845";1575;"Eisleben"
"02-0845";"02-0845";1575;"Eisleben"
"02-0820";"02-0845";1572;"Eisleben"
"02-0746";"02-0845";1574;"Eisleben"
"02-0858";"02-0848";1562;"Eisleben"
"02-0876";"02-0851";1566;"Eisleben"
"02-0789";"02-0851";1566;"Eisleben"
"02-0654";"02-0852";1564;"Eisleben"
"02-0785";"02-0852";1564;"Eisleben"
"02-0785";"02-0852";1564;"Eisleben"
"02-0714";"02-0854";1569;"Eisleben"
"02-0324";"02-0876";1557;"Emden"
"02-0716";"02-0784";1558;"Erfurt"
"02-0784";"02-0800";1552;"Erfurt"
"02-0654";"02-0800";1552;"Erfurt"
"02-0654";"02-0800";1552;"Erfurt"
"02-0784";"02-0800";1552;"Erfurt"
"02-0793";"02-0820";1562;"Erfurt"
"02-0716";"02-0666";1567;"Frankfurt"
"02-0700";"02-0090";1558;"Frankfurt a.M."
"02-0879";"02-0654";1564;"Frankfurt a.M."
"02-0716";"02-0666";1566;"Frankfurt a.M."
"02-0673";"02-0678";1563;"Frankfurt a.M."
"02-0673";"02-0678";1563;"Frankfurt a.M."
"02-0673";"02-0678";1562;"Frankfurt a.M."
"02-0700";"02-0768";1558;"Frankfurt a.M."
"02-0700";"02-0768";1558;"Frankfurt a.M."
"02-0646";"02-0775";1557;"Frankfurt a.M."
"02-0879";"02-0775";1557;"Frankfurt a.M."
"02-0716";"02-0800";1552;"Frankfurt a.M."
"02-0700";"02-0848";1558;"Frankfurt a.M."
"02-0655";"02-0848";1558;"Frankfurt a.M."
"02-0700";"02-0848";1558;"Frankfurt a.M."
"02-0665";"02-0856";1552;"Frankfurt a.M."
"02-0673";"02-0867";1563;"Frankfurt a.M."
"02-0673";"02-0867";1562;"Frankfurt a.M."
"02-0700";"02-0868";1558;"Frankfurt a.M."
"02-0673";"02-0116";1557;"Frankfurt a.M."
"02-0755";"02-0654";1564;"Frankfurt a.M."
"02-0820";"02-0793";1562;"Frankfurt a.M."
"02-0820";"02-0775";1562;"Frankfurt an der Oder"
"02-0793";"02-0800";1552;"Frankfurt an der Oder"
"02-0793";"02-0800";1552;"Frankfurt an der Oder"
"02-1029";"02-0800";1552;"Frankfurt an der Oder"
"02-0793";"02-0820";1564;"Frankfurt an der Oder"
"02-0793";"02-0820";1564;"Frankfurt an der Oder"
"02-0793";"02-0820";1563;"Frankfurt an der Oder"
"02-0793";"02-0848";1558;"Frankfurt an der Oder"
"02-0700";"02-0768";1560;"Frankfurt a.M."
"02-0759";"02-0741";1561;"Freiburg"
"02-0666";"02-0655";1565;"Genf"
"02-0711";"02-0702";1567;"Genf"
"02-0508";"02-0702";1566;"Genf"
"02-0666";"02-0716";1565;"Genf"
"02-0699";"02-0741";1574;"Genf"
"02-0061";"02-0741";1562;"Genf"
"02-0666";"02-0741";1561;"Genf"
"02-0681";"02-0741";1561;"Genf"
"02-0699";"02-0741";1574;"Genf"
"02-0666";"02-0841";1572;"Genf"
"02-0111";"02-0841";1579;"Genf"
"02-0666";"02-0841";1571;"Genf"
"02-0666";"02-0841";1571;"Genf"
"02-0666";"02-0841";1573;"Genf"
"02-0681";"02-0847";1561;"Genf"
"02-0061";"02-0870";1562;"Genf"
"02-0681";"02-0876";1557;"Genf"
"02-0785";"02-0845";1577;"Halle"
"02-0782";"02-0681";1557;"Hamburg"
"02-0782";"02-0766";1557;"Hamburg"
"02-0650";"02-0800";1552;"Hamburg"
"02-0673";"02-0061";1576;"Heidelberg"
"02-0689";"02-0655";1575;"Heidelberg"
"02-0699";"02-0706";1575;"Heidelberg"
"02-0382";"02-0741";1575;"Heidelberg"
"02-0699";"02-0741";1575;"Heidelberg"
"02-0061";"02-0758";1576;"Heidelberg"
"02-0841";"02-0764";1565;"Heidelberg"
"02-0855";"02-0777";1566;"Heidelberg"
"02-0855";"02-0777";1565;"Heidelberg"
"02-0764";"02-0777";1565;"Heidelberg"
