"m.id","n.id"
"02-0841","01-0001"
"02-0841","01-0002"
"02-0879","01-0009"
"02-0841","01-0014"
"02-0860","01-0015"
"02-0732","01-0016"
"02-0830","01-0020"
"02-0841","01-0022"
"02-0845","01-0025"
"02-0741","01-0026"
"02-0716","01-0027"
"02-0367","01-0028"
"02-0678","01-0029"
"02-0732","01-0030"
"02-0749","01-0032"
"02-0493","01-0034"
"02-1029","01-0035"
"02-0845","01-0036"
"02-0820","01-0037"
"02-0717","01-0041"
"02-0749","01-0041"
"02-0097","01-0041"
"02-0946","01-0041"
"02-0801","01-0042"
"02-1029","01-0044"
"02-0320","01-0045"
"02-0681","01-0048"
"02-0700","01-0051"
"02-0666","01-0052"
"02-0222","01-0053"
"02-0708","01-0054"
"02-0716","01-0055"
"02-0741","01-0056"
"02-0094","01-0058"
"02-0097","01-0059"
"02-0946","01-0059"
"02-0749","01-0059"
"02-0717","01-0059"
"02-0749","01-0060"
"02-0845","01-0061"
"02-0778","01-0063"
"02-0194","01-0064"
"02-0845","01-0065"
"02-0655","01-0067"
"02-0716","01-0068"
"02-0748","01-0069"
"02-0716","01-0071"
"02-0831","01-0072"
"02-0749","01-0073"
"02-0716","01-0074"
"02-0771","01-0075"
"02-0879","01-0076"
"02-1029","01-0078"
"02-0841","01-0079"
"02-0194","01-0081"
"02-0655","01-0083"
"02-0655","01-0084"
"02-0655","01-0085"
"02-0845","01-0086"
"02-0716","01-0087"
"02-0845","01-0088"
"02-0746","01-0089"
"02-0741","01-0090"
"02-0685","01-0091"
"02-0789","01-0091"
"02-0691","01-0092"
"02-0775","01-0093"
"02-0775","01-0094"
"02-0775","01-0095"
"02-0845","01-0096"
"02-0671","01-0097"
"02-0787","01-0099"
"02-0655","01-0103"
"02-0777","01-0105"
"02-0782","01-0106"
"02-0745","01-0107"
"02-0741","01-0108"
"02-0879","01-0109"
"02-0845","01-0111"
"02-0722","01-0112"
"02-0873","01-0112"
"02-0741","01-0115"
"02-0655","01-0116"
"02-0655","01-0117"
"02-0655","01-0118"
"02-0655","01-0119"
"02-0716","01-0120"
"02-0802","01-0122"
"02-0767","01-0123"
"02-0793","01-0124"
"02-0767","01-0125"
"02-0833","01-0126"
"02-0102","01-0126"
"02-0714","01-0129"
"02-0669","01-0133"
"02-0782","01-0134"
"02-0726","01-0137"
"02-0188","01-0138"
"02-0854","01-0139"
"02-0854","01-0140"
"02-0775","01-0144"
"02-0775","01-0145"
"02-0691","01-0147"
"02-0691","01-0149"
"02-0655","01-0151"
"02-0673","01-0152"
"02-0845","01-0153"
"02-0655","01-0154"
"02-0716","01-0156"
"02-0838","01-0157"
"02-0741","01-0158"
"02-0655","01-0159"
"02-0841","01-0161"
"02-0782","01-0163"
"02-0714","01-0164"
"02-0862","01-0165"
"02-0824","01-0166"
"02-0841","01-0168"
"02-0800","01-0169"
"02-0807","01-0170"
"02-0871","01-0171"
"02-0879","01-0172"
"02-0655","01-0173"
"02-0658","01-0175"
"02-0779","01-0176"
"02-0780","01-0177"
"02-1029","01-0178"
"02-0879","01-0179"
"02-0845","01-0180"
"02-0845","01-0181"
"02-0845","01-0182"
"02-0789","01-0183"
"02-0741","01-0184"
"02-0789","01-0184"
"02-0716","01-0185"
"02-0737","01-0185"
"02-0803","01-0186"
"02-0699","01-0187"
"02-0859","01-0188"
"02-0689","01-0189"
"02-0785","01-0190"
"02-0845","01-0190"
"02-0785","01-0191"
"02-0199","01-0192"
"02-0716","01-0193"
"02-1029","01-0194"
"02-0782","01-0194"
"02-0824","01-0195"
"02-0841","01-0199"
"02-0561","01-0200"
"02-1029","01-0202"
"02-0782","01-0202"
"02-0841","01-0203"
"02-0845","01-0204"
"02-0716","01-0205"
"02-0688","01-0208"
"02-0783","01-0209"
"02-0734","01-0210"
"02-0022","01-0210"
"02-0853","01-0211"
"02-1029","01-0212"
"02-0800","01-0213"
"02-0841","01-0214"
"02-0859","01-0215"
"02-0845","01-0216"
"02-0783","01-0217"
"02-0845","01-0219"
"02-0845","01-0220"
"02-0845","01-0221"
"02-0655","01-0222"
"02-0845","01-0223"
"02-0655","01-0224"
"02-0716","01-0225"
"02-0727","01-0226"
"02-0807","01-0227"
"02-0142","01-0228"
"02-0741","01-0229"
"02-0845","01-0230"
"02-0722","01-0231"
"02-0845","01-0232"
"02-0741","01-0233"
"02-0741","01-0234"
"02-0741","01-0235"
"02-0727","01-0236"
"02-0655","01-0237"
"02-0845","01-0238"
"02-0845","01-0239"
"02-0741","01-0241"
