m.id,o.id,n.year_of_publication,n.Erscheinungsort,n.controversy
02-0852,02-0716,1563,Basel,Synergistischer Streit / Erbsündenstreit
02-0913,02-0716,1560,Basel,Abendmahlslehre und Christologie / Antitrinitarischer Streit
02-0879,02-0755,1565,Basel,Allgemeiner Druck
02-0879,02-0755,1575,Basel,Allgemeiner Druck
02-0879,02-0755,1558,Basel,Allgemeiner Druck
02-0716,02-0852,1563,Basel,Synergistischer Streit / Erbsündenstreit
02-0755,02-0879,1558,Basel,Allgemeiner Druck
02-0755,02-0879,1575,Basel,Allgemeiner Druck
02-0755,02-0879,1565,Basel,Allgemeiner Druck
02-0716,02-0913,1560,Basel,Abendmahlslehre und Christologie / Antitrinitarischer Streit
02-0717,02-0097,1572,Eisleben,Erbsündenstreit
02-0749,02-0097,1572,Eisleben,Erbsündenstreit
02-0946,02-0097,1572,Eisleben,Erbsündenstreit
02-0789,02-0652,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0685,02-0652,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0673,02-0654,1564,Eisleben,Allgemeiner Druck
02-1002,02-0658,1580,Eisleben,Erbsündenstreit
02-0654,02-0673,1564,Eisleben,Allgemeiner Druck
02-0789,02-0685,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0652,02-0685,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0789,02-0685,1561,Eisleben,Abendmahlslehre und Christologie
02-0749,02-0717,1572,Eisleben,Erbsündenstreit
02-0097,02-0717,1572,Eisleben,Erbsündenstreit
02-0946,02-0717,1572,Eisleben,Erbsündenstreit
02-0717,02-0749,1572,Eisleben,Erbsündenstreit
02-0097,02-0749,1572,Eisleben,Erbsündenstreit
02-0946,02-0749,1572,Eisleben,Erbsündenstreit
02-0879,02-0755,1562,Eisleben,Allgemeiner Druck
02-0845,02-0785,1575,Eisleben,Erbsündenstreit
02-0685,02-0789,1561,Eisleben,Abendmahlslehre und Christologie
02-0652,02-0789,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0685,02-0789,1567,Eisleben,Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit
02-0785,02-0845,1575,Eisleben,Erbsündenstreit
02-0755,02-0879,1562,Eisleben,Allgemeiner Druck
02-0717,02-0946,1572,Eisleben,Erbsündenstreit
02-0749,02-0946,1572,Eisleben,Erbsündenstreit
02-0097,02-0946,1572,Eisleben,Erbsündenstreit
02-0658,02-1002,1580,Eisleben,Erbsündenstreit
02-0835,02-0784,1552,Erfurt,Osiandrischer Streit
02-0852,02-0784,1552,Erfurt,Osiandrischer Streit
02-0851,02-0789,1561,Erfurt,Abendmahlslehre und Christologie
02-0784,02-0835,1552,Erfurt,Osiandrischer Streit
02-0852,02-0835,1552,Erfurt,Osiandrischer Streit
02-0789,02-0851,1561,Erfurt,Abendmahlslehre und Christologie
02-0784,02-0852,1552,Erfurt,Osiandrischer Streit
02-0835,02-0852,1552,Erfurt,Osiandrischer Streit
02-0835,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0238,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0879,02-0646,1557,Frankfurt a.M.,Majoristischer Streit
02-0835,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0663,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0835,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0735,02-0673,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0835,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0735,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0879,02-0755,1564,Frankfurt a.M.,Allgemeiner Druck
02-0735,02-0835,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0673,02-0835,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0663,02-0835,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
02-0238,02-0835,1561,Frankfurt a.M.,Obrigkeitliche Dokumente
