"m.id";"o.id";"n.year_of_publication";"n.Erscheinungsort";"n.controversy";"n.type"
"02-0852";"02-0716";1563;"Basel";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-0913";"02-0716";1560;"Basel";"Abendmahlslehre und Christologie / Antitrinitarischer Streit";"co-authors"
"02-0879";"02-0755";1565;"Basel";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0755";1575;"Basel";"Allgemeiner Druck";"co-authors"
"02-0879";"02-0755";1558;"Basel";"Allgemeiner Druck";"co-authors"
"02-0716";"02-0852";1563;"Basel";"Synergistischer Streit / Erbsündenstreit";"co-authors"
"02-0755";"02-0879";1558;"Basel";"Allgemeiner Druck";"co-authors"
"02-0755";"02-0879";1575;"Basel";"Allgemeiner Druck";"co-authors"
"02-0755";"02-0879";1565;"Basel";"Allgemeiner Druck";"co-authors"
"02-0716";"02-0913";1560;"Basel";"Abendmahlslehre und Christologie / Antitrinitarischer Streit";"co-authors"
"02-0717";"02-0097";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0749";"02-0097";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0946";"02-0097";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0789";"02-0652";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0685";"02-0652";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0673";"02-0654";1564;"Eisleben";"Allgemeiner Druck";"co-authors"
"02-1002";"02-0658";1580;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0654";"02-0673";1564;"Eisleben";"Allgemeiner Druck";"co-authors"
"02-0789";"02-0685";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0652";"02-0685";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0789";"02-0685";1561;"Eisleben";"Abendmahlslehre und Christologie";"co-authors"
"02-0749";"02-0717";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0097";"02-0717";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0946";"02-0717";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0717";"02-0749";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0097";"02-0749";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0946";"02-0749";1572;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0879";"02-0755";1562;"Eisleben";"Allgemeiner Druck";"co-authors"
"02-0845";"02-0785";1575;"Eisleben";"Erbsündenstreit";"co-authors"
"02-0685";"02-0789";1561;"Eisleben";"Abendmahlslehre und Christologie";"co-authors"
"02-0652";"02-0789";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0685";"02-0789";1567;"Eisleben";"Allgemeiner Druck / Obrigkeitliche Dokumente / Osiandrischer Streit";"co-authors"
"02-0785";"02-0845";1575;"Eisleben";"Erbsündenstreit";"co-authors"
