n.id,n.format,n.vd16_number,n.controversy,n.Erscheinungsort,n.year_of_publication
01-1756,8°,--,Allgemeiner Druck,Antwerpen,1567
01-1207,k. A.,--,Allgemeiner Druck / Wormser Gespräch,Antwerpen,1562
01-0918,4°,D 949,Obrigkeitliche Dokumente,Augsburg,1548
01-0919,8°,D 968,obrigkeitliche Dokumente,Augsburg,1548
01-1271,4°,D 940,obrigkeitliche Dokumente,Augsburg,1548
01-1279,8°,D 938,obrigkeitliche Dokumente,Augsburg,1548
01-1438,4°,K 2117,obrigkeitliche Dokumente,Augsburg,1552
01-0699,4°,M 2504,Osiandrischer Streit,Augsburg,1555
01-0780,4°,C 6305,Osiandrischer Streit,Augsburg,1558
01-0587,8°,S 4903,Schwenckfeld,Augsburg,1562
01-0673,4°,S 5029,Schwenckfeld,Augsburg,1554
01-0674,4°,S 4936,Schwenckfeld,Augsburg,1554
01-0709,4°,S 4908,Schwenckfeld,Augsburg,1556
01-0710,4°,M 1700,Schwenckfeld,Augsburg,1556
01-0711,4°,S 4937,Schwenckfeld,Augsburg,1556
01-0713,4°,S 4837,Schwenckfeld,Augsburg,1556
01-0764,4°,ZV 8771,Schwenckfeld,Augsburg,1558
01-0765,4°,S 4887,Schwenckfeld,Augsburg,1558
01-0766,4°,S 4834,Schwenckfeld,Augsburg,1558
01-0770,4°,M 1961,Schwenckfeld,Augsburg,1558
01-0772,4°,M 1702,Schwenckfeld,Augsburg,1558
01-1999,8°,S 4935,Schwenckfeld,Augsburg,1555
01-2001,4°,S 5019,Schwenckfeld,Augsburg,1547
01-2002,4°,S 4962,Schwenckfeld,Augsburg,1558
01-2003,4° (8°),ZV 20384,Schwenckfeld,Augsburg,1552
01-1480,4°,vacat,Schwenckfeld,Augsburg,1554
01-1481,4°,M 1693,Schwenckfeld,Augsburg,1558
01-1735,4°,M 1698,Schwenckfeld,Augsburg,1557
01-1743,4°,S 4844,Schwenckfeld,Augsburg,1558
01-1747,4°,S 4947,Schwenckfeld,Augsburg,1557
01-1989,8°,S 4958,Schwenckfeld,Augsburg,1558
01-1996,8°,S 4959,Schwenckfeld,Augsburg,1551
01-1553,4°,A 1486,Widerstand gegen das Augsburger Interim,Augsburg,1557
01-1979,8° [?],S 4882,Schwenckfeld,Ausgburg,1550
01-0304,8°,W 2741,Abendmahlslehre und Christologie,Basel,1568
01-0620,4°,W 1708,Abendmahlslehre und Christologie,Basel,1562
01-1160,8°,M 3529,Abendmahlslehre und Christologie,Basel,1560
01-1524,8°,L 603,Abendmahlslehre und Christologie,Basel,1560
01-1872,8°,L 601,Abendmahlslehre und Christologie,Basel,1556
01-1955,8°,B 6836,Abendmahlslehre und Christologie,Basel,1561
01-1966,8°,L 587,Abendmahlslehre und Christologie / Allgemeiner Druck,Basel,1556
01-1830,8°,F 1507,Abendmahlslehre und Christologie / Antitrinitarischer Streit,Basel,1560
01-0424,8°,W 2877,Allgemeiner Druck,Basel,1575
01-0431,8°,W 2875,Allgemeiner Druck,Basel,1565
01-0844,8°,F 1526,allgemeiner Druck,Basel,1555
01-1060,4°,F 1496,allgemeiner Druck,Basel,1565
01-1640,8º,W 2871,Allgemeiner Druck,Basel,1558
01-1757,8°,F 1334,Allgemeiner Druck,Basel,1567
01-1797,8°,C 522,Allgemeiner Druck,Basel,1554
01-1755,4°,F 1498,Allgemeiner Druck / Antikatholisch,Basel,1568
01-1829,8°,R 2283,Antinomistischer Streit,Basel,1559
01-1875,2°,B 4214,Christologie und Abendmahlslehre,Basel,1570
01-0326,8°,F 1339,Erbsündenstreit,Basel,1570
01-1007,8°,F 1392 / F 1458,Erbsündenstreit,Basel,1569
01-1595,8°,F 1336,Erbsündenstreit,Basel,1570
01-1777,2°,F 1307,Erbsündenstreit,Basel,1567
01-1778,2°,F 1308,Erbsündenstreit,Basel,1567
01-1495,8°,C 6297,Osiandrischer Streit,Basel,1555
01-0305,8°,F 1385,Synergistischer Streit,Basel,1568
01-1218,4°,F 1527,Synergistischer Streit,Basel,1563
01-1863,4°,F 1354,Synergistischer Streit / Erbsündenstreit,Basel,1563
01-1911,k. A.,--,Allgemeiner Druck,Bautzen,1562
01-1702,4°,L 794,Majoristischer Streit/ Adiaphoristischer Streit,Bautzen,1562
01-0137,4°,H 3261,Schwenckfeld,Bautzen,1569
01-1657,8°,O 989,Widerstand gegen das Augsburger Interim,Bern,1552
01-2031,8°,ZV 7863,Abendmahlslehre und Christologie,Breslau,1566
01-0715,4°,M 5029,Schwenckfeld,Breslau,1556
01-0947,8°,B 839,Widerstand gegen das Augsburger Interim,Coburg,1548
01-1860,4°,B 841,Widerstand gegen das Augsburger Interim,Coburg,1549
01-0100,4°,A 3149,Abendmahlslehre und Christologie,Danzig,1567
01-1674,4°,B 9815,Abendmahlslehre und Christologie,Danzig,1566
01-0925,8°,S 8580,allgemeiner Druck,Dillingen,1559
01-1810,4°,S 8597,Allgemeiner Druck / Wormser Gespräch,Dillingen,1558
01-0733,4°,V 2326,Wormser Gespräch,Dillingen,1557
01-0396,8°,H 443,Abendmahlslehre und Christologie,Dortmund,1572
01-0012,4°,K 2645,Abendmahlslehre und Christologie,Dresden,1571
01-0047,8°,K 2648,Abendmahlslehre und Christologie,Dresden,1572
01-0075,8°,L 7769,Abendmahlslehre und Christologie,Dresden,1579
01-0168,4°,S 5583,Abendmahlslehre und Christologie,Dresden,1575
01-0199,4°,S 5584,Abendmahlslehre und Christologie,Dresden,1576
01-0203,4°,S 5501,Abendmahlslehre und Christologie,Dresden,1576
01-0236,4°,L 3547,Abendmahlslehre und Christologie,Dresden,1578
01-1558,4°,S 5502,Abendmahlslehre und Christologie,Dresden,1576
01-1698,4°,K 2646,Abendmahlslehre und Christologie,Dresden,1571
01-1918,4°,M 4231,Abendmahlslehre und Christologie,Dresden,1574
01-1576,8°,W 155,Allgemeiner Druck,Dresden,1579
01-0234,4°,H 3012,Diskussion FC,Dresden,1578
01-1915,4°,O 1166,Diskussion FC,Dresden,1580
01-0093,4°,M 2006,Majoristischer Streit,Dresden,1559
01-0094,4°,M 2160,Majoristischer Streit,Dresden,1567
01-0145,4°,M 2187,Majoristischer Streit,Dresden,1570
01-1853,4°,M 2188,Majoristischer Streit,Dresden,1570
01-1874,2°,K 1991,obrigkeitliche Dokumente,Dresden,1580
01-0097,8°,B 6091,Abendmahlslehre und Christologie,Eisleben,1567
01-0099,8°,M 6341,Abendmahlslehre und Christologie,Eisleben,1567
01-0101,4°,A 4057,Abendmahlslehre und Christologie,Eisleben,1567
01-0197,4°,B 1837,Abendmahlslehre und Christologie,Eisleben,1576
01-0520,8°,S 7691,Abendmahlslehre und Christologie,Eisleben,1564
01-0522,8°,B 7621,Abendmahlslehre und Christologie,Eisleben,1564
01-0537,4°,M 5895,Abendmahlslehre und Christologie,Eisleben,1565
01-0561,8°,C 2149,Abendmahlslehre und Christologie,Eisleben,1561
01-0641,8°,S 10168,Abendmahlslehre und Christologie,Eisleben,1562
01-0790,4°,H 3110,Abendmahlslehre und Christologie,Eisleben,1580
01-0901,8°,M 5869,Abendmahlslehre und Christologie,Eisleben,1561
01-0902,8°,C 2148,Abendmahlslehre und Christologie,Eisleben,1561
01-1197,8°,S 10167,Abendmahlslehre und Christologie,Eisleben,1562
01-1604,8°,H 3906,Abendmahlslehre und Christologie,Eisleben,1564
01-1771,8°,C 1855,Abendmahlslehre und Christologie,Eisleben,1557
01-1902,8°,H 426,Abendmahlslehre und Christologie,Eisleben,1568
01-0113,4°,B 1833,Abendmahlslehre und Christologie / Majoristischer Streit,Eisleben,1568
01-0604,4°,A 2215,Adiaphoristischer Streit ?,Eisleben,1562
01-1669,4°,E 4045,Adiaphoristischer Streit / allgemeine Schrift,Eisleben,1557
01-0102,4°,M 5038,Allgemeine Schrift,Eisleben,1567
01-0595,4°,F 1499,Allgemeine Schrift,Eisleben,1562
01-0507,8°,K 2761,Allgemeiner Druck,Eisleben,1563
01-0530,4°,N 1889,allgemeiner Druck,Eisleben,1564
01-0532,8°,S 7650,allgemeiner Druck,Eisleben,1564
01-0586,4°,K 2760,Allgemeiner Druck,Eisleben,1562
01-0613,4°,I 302,Allgemeiner Druck,Eisleben,1562
01-0645,4°,ZV 13832,Allgemeiner Druck,Eisleben,1562
